raw,mapped
amantadine,amantadine
pk merz,amantadine
apokyn,apomporphine
apomorfina,apomporphine
apomorphine,apomporphine
carb levo,carbidopa/levodopa
carbidopa levodopa entacapone,carbidopa levodopa entacapone
stalevo,carbidopa levodopa entacapone
carbidopa levodopa,carbidopa/levodopa
carbidopa levodopa sinemet,carbidopa/levodopa
dopicar,carbidopa/levodopa
isicom,carbidopa/levodopa
levocomp,carbidopa/levodopa
nacom,carbidopa/levodopa
sinemet,carbidopa/levodopa
sinemet carbidopa levodopa,carbidopa/levodopa
sinemet plus,carbidopa/levodopa
co carledopa,controlled-release levodopa
rytary,controlled-release levodopa
rytary carbidopa levodopa,controlled-release levodopa
duodopa,duodopa
comtan,entacapone
entacapone,entacapone
gocovri,gocovri
gocovri amantadine,gocovri
inbrija,inbrija
istradefylline,istradefylline
benserazida,levodopa
dopa pump,levodopa
l dopa,levodopa
levodopa,levodopa
levodopa benserazide,levodopa
madopar,levodopa
ongentys,opicapone
opicapona,opicapone
osmolex,osmolex
osmolex amantadine,osmolex
clarium,piribedil
piribedil,piribedil
mirapex,pramipexole
pramipexole,pramipexole
pramipexole mirapex,pramipexole
sifrol,pramipexole
azilect,rasagiline
azilect rasagiline,rasagiline
rasagiline,rasagiline
requip,ropinirole
ropinirole,ropinirole
ropirinol,ropinirole
neupro,rotigotine
neuropatch,rotigotine
rotigotine,rotigotine
safinamide,safinamide
xadago,safinamide
eldepryl,selegiline
selegiline,selegiline
tasmar,tolcapone
tolcapone,tolcapone
trihexyphenidyl,trihexyphenidyl
