medications_mapped,dose_1,dose_2,dose_3
amantadine,,100,
amantadine,,150,
carbidopa/levodopa,5,20,
carbidopa/levodopa,12.5,50,
carbidopa/levodopa,18.75,75,
carbidopa/levodopa,10,100,
carbidopa/levodopa,23.75,95,
carbidopa/levodopa,25,100,
carbidopa/levodopa,25,250,
carbidopa/levodopa,31.25,125,
carbidopa/levodopa,35,145,
carbidopa/levodopa,36.25,145,
carbidopa/levodopa,37.5,150,
carbidopa/levodopa,48.75,195,
carbidopa/levodopa,50,200,
carbidopa/levodopa,50,250,
carbidopa/levodopa,61.25,245,
carbidopa/levodopa,100,250,
carbidopa levodopa entacapone,12.5,50,200
carbidopa levodopa entacapone,18.75,75,200
carbidopa levodopa entacapone,25,100,200
carbidopa levodopa entacapone,31.2,125,200
carbidopa levodopa entacapone,31.25,125,200
carbidopa levodopa entacapone,37.5,150,200
carbidopa levodopa entacapone,43.75,175,200
carbidopa levodopa entacapone,50,200,200
carbidopa levodopa entacapone,,50,200
carbidopa levodopa entacapone,,75,200
carbidopa levodopa entacapone,,100,200
carbidopa levodopa entacapone,,125,200
carbidopa levodopa entacapone,,150,200
carbidopa levodopa entacapone,,200,200
carbidopa levodopa entacapone,12.5,50,
carbidopa levodopa entacapone,18.75,75,
carbidopa levodopa entacapone,25,100,
carbidopa levodopa entacapone,31.2,125,
carbidopa levodopa entacapone,31.25,125,
carbidopa levodopa entacapone,37.5,150,
carbidopa levodopa entacapone,43.75,175,
carbidopa levodopa entacapone,50,200,
carbidopa levodopa entacapone,,50,
carbidopa levodopa entacapone,,75,
carbidopa levodopa entacapone,,100,
carbidopa levodopa entacapone,,125,
carbidopa levodopa entacapone,,200,
carbidopa levodopa entacapone,,150,
controlled-release levodopa,23.5,95,
controlled-release levodopa,23.75,75,
controlled-release levodopa,23.75,95,
controlled-release levodopa,25,100,
controlled-release levodopa,36,93,
controlled-release levodopa,36,145,
controlled-release levodopa,36.25,145,
controlled-release levodopa,36.35,145,
controlled-release levodopa,36.5,145,
controlled-release levodopa,48.75,195,
controlled-release levodopa,61.25,245,
controlled-release levodopa,61.75,245,
levodopa,12.5,50,
levodopa,18.75,75,
levodopa,25,100,
levodopa,37.5,150,
levodopa,48.75,195,
levodopa,50,200,
levodopa,56.25,125,
levodopa,100,125,
levodopa,,25,
levodopa,,50,
levodopa,,100,
levodopa,,200,
levodopa,,125,
levodopa,,250,
pramipexole,0.125,,
pramipexole,0.25,,
pramipexole,0.375,,
pramipexole,1,,
pramipexole,0.5,,
pramipexole,1.5,,
pramipexole,0.75,,
pramipexole,0.375,,
pramipexole,3,,
pramipexole,4.5,,
pramipexole,2.25,,
pramipexole,3.75,,
ropinirole,1,,
ropinirole,2,,
ropinirole,3,,
ropinirole,4,,
ropinirole,8,,
safinamide,50,,
safinamide,100,,
