raw,replacement
SINEMET 250100,SINEMET 100/250
SINEMET CR 250199,SINEMET CR 199/250
RYTARY 61.75/2445 MG,RYTARY 61.75/245 MG
CARBIDOPA LEVODOPA (25-1000,CARBIDOPA LEVODOPA (25-100)
CARBIDOPA LEVODOPA (25/1000,CARBIDOPA LEVODOPA (25-100)
CARBIDOPA/LEVODOPA ER (25/1000,CARBIDOPA LEVODOPA (25-100) ER
CARBIDOPA LEVODOPA ER(25/1000,CARBIDOPA LEVODOPA (25-100) ER
LEVODOPA/BENSERAZID 100725,LEVODOPA/BENSERAZID 100
LEVODOPA BENSERAZID 100725,LEVODOPA/BENSERAZID 100
CARBIDOPA LEVODOPA 25-10,CARBIDOPA LEVODOPA 25-100
CARBIDOPA-LEVODOPA 25-10,CARBIDOPA LEVODOPA 25-100
STALEVO 100\\25\\2000,STALEVO 100/25/200
RYTARY (36-25-145),RYTARY (36.25-145)
LEVODOPA CARBIDOPA  (20+5) INTESTINAL GEL,Duodopa (20+5)
LEVODOPA/CARBIDOPA INTESTINAL GEL INFUSION,Duodopa
"PRAMIPEXOLE O,5 MG",PRAMIPEXOLE 0.5 MG
LEVODOPA 7BENSERAZID 100/25,LEVODOPA BENSERAZID 100/25
LEVODOPA 100 MG (CORBILTA),LEVODOPA 100 MG
LEVODOPA (CORBILTA) 50 MG,LEVODOPA 50 MG
