raw,replacement,priority,category,notes
\bqh\b,,,time_of_day,
\b(?:q\s*am|every\s*morning)\b,,,time_of_day,
\b(?:q\s*pm|every\s*evening|in the pm)\b,,,time_of_day,
\bnightly\b,,,time_of_day,
\bevery night\b,,,time_of_day,
\bevery hour of sleep\b,,,time_of_day,
\bqhs\b,,,time_of_day,
\bafternoon\b,,,time_of_day,
\bnoon\b,,,time_of_day,
\bevening\b,,,time_of_day,
\bnight\b,,,time_of_day,
\bprn\b,,,prn,
\bas\s+needed\b,,,prn,
\bas\s+required\b,,,prn,
\bwhen\s+needed\b,,,prn,
\bif\s+needed\b,,,prn,
\brareely\b,,,prn,
\boccasionally\b,,,prn,
\bintermittent\b,,,prn,
