raw,replacement,priority,category,notes
\bq\s*(?:12(?:\.0+)?|twelve)\s*(?:annually|yearly|year|yr|y)\b,0.000228311,1,frequency,q 12 year
\bevery\s+(?:12(?:\.0+)?|twelve)\s+(?:annually|yearly|year|yr|y)\b,0.000228311,1,frequency,every 12 year
\bq\s*(?:11(?:\.0+)?|eleven)\s*(?:annually|yearly|year|yr|y)\b,0.000249066,1,frequency,q 11 year
\bevery\s+(?:11(?:\.0+)?|eleven)\s+(?:annually|yearly|year|yr|y)\b,0.000249066,1,frequency,every 11 year
\bq\s*(?:10(?:\.0+)?|ten)\s*(?:annually|yearly|year|yr|y)\b,0.000273973,1,frequency,q 10 year
\bevery\s+(?:10(?:\.0+)?|ten)\s+(?:annually|yearly|year|yr|y)\b,0.000273973,1,frequency,every 10 year
\bq\s*(?:9(?:\.0+)?|nine)\s*(?:annually|yearly|year|yr|y)\b,0.000304414,1,frequency,q 9 year
\bevery\s+(?:9(?:\.0+)?|nine)\s+(?:annually|yearly|year|yr|y)\b,0.000304414,1,frequency,every 9 year
\bq\s*(?:8(?:\.0+)?|eight)\s*(?:annually|yearly|year|yr|y)\b,0.000342466,1,frequency,q 8 year
\bevery\s+(?:8(?:\.0+)?|eight)\s+(?:annually|yearly|year|yr|y)\b,0.000342466,1,frequency,every 8 year
\bq\s*(?:7(?:\.0+)?|seven)\s*(?:annually|yearly|year|yr|y)\b,0.000391389,1,frequency,q 7 year
\bevery\s+(?:7(?:\.0+)?|seven)\s+(?:annually|yearly|year|yr|y)\b,0.000391389,1,frequency,every 7 year
\bq\s*(?:6(?:\.0+)?|six)\s*(?:annually|yearly|year|yr|y)\b,0.000456621,1,frequency,q 6 year
\bevery\s+(?:6(?:\.0+)?|six)\s+(?:annually|yearly|year|yr|y)\b,0.000456621,1,frequency,every 6 year
\bq\s*(?:5(?:\.0+)?|five)\s*(?:annually|yearly|year|yr|y)\b,0.000547945,1,frequency,q 5 year
\bevery\s+(?:5(?:\.0+)?|five)\s+(?:annually|yearly|year|yr|y)\b,0.000547945,1,frequency,every 5 year
\bq\s*(?:4(?:\.0+)?|four)\s*(?:annually|yearly|year|yr|y)\b,0.000684932,1,frequency,q 4 year
\bevery\s+(?:4(?:\.0+)?|four)\s+(?:annually|yearly|year|yr|y)\b,0.000684932,1,frequency,every 4 year
\bq\s*(?:3(?:\.0+)?|three)\s*(?:annually|yearly|year|yr|y)\b,0.000913242,1,frequency,q 3 year
\bevery\s+(?:3(?:\.0+)?|three)\s+(?:annually|yearly|year|yr|y)\b,0.000913242,1,frequency,every 3 year
\bq\s*(?:2(?:\.0+)?|two)\s*(?:annually|yearly|year|yr|y)\b,0.001369863,1,frequency,q 2 year
\bevery\s+(?:2(?:\.0+)?|two)\s+(?:annually|yearly|year|yr|y)\b,0.001369863,1,frequency,every 2 year
\b(?:1(?:\.0+)?|one)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:annually|yearly|year|yr|y)\b,0.002739726,1,frequency,1 per year
\b(?:1(?:\.0+)?|one)\s+(?:yearly|annually)\b,0.002739726,1,frequency,1 year adverb
\bq\s*(?:1(?:\.0+)?|one)\s*(?:annually|yearly|year|yr|y)\b,0.002739726,1,frequency,q 1 year
\bevery\s+(?:1(?:\.0+)?|one)\s+(?:annually|yearly|year|yr|y)\b,0.002739726,1,frequency,every 1 year
\b(?:1(?:\.0+)?|one)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:annually|yearly|year|yr|y)\b,0.002739726,1,frequency,1 days per year
\bonce\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:annually|yearly|year|yr|y)\b,0.002739726,1,frequency,once per year
\bq\s*(?:12(?:\.0+)?|twelve)\s*(?:monthly|months|month|mo|m)\b,0.002777778,1,frequency,q 12 month
\bevery\s+(?:12(?:\.0+)?|twelve)\s+(?:monthly|months|month|mo|m)\b,0.002777778,1,frequency,every 12 month
\bq\s*(?:11(?:\.0+)?|eleven)\s*(?:monthly|months|month|mo|m)\b,0.003030303,1,frequency,q 11 month
\bevery\s+(?:11(?:\.0+)?|eleven)\s+(?:monthly|months|month|mo|m)\b,0.003030303,1,frequency,every 11 month
\bq\s*(?:10(?:\.0+)?|ten)\s*(?:monthly|months|month|mo|m)\b,0.003333333,1,frequency,q 10 month
