raw,replacement,priority,category,notes,
\b(?:once\s*(?:daily|a\s*day|per\s*day|every\s*day|each\s*day))\b,1,1,frequency,once daily,
\b(?:every\s*24\s*(?:hours?|hrs?))\b,1,1,frequency,,
\b(?:q\.?\s*d\.?|od|q24h|q24)\b,1,2,frequency,,
\bq\s*/?\s*(?:day|d)\b,1,1,frequency,,
\bq\s*(?:w|wk|week)\b,0.142857143,1,frequency,,
\bweekly\b,0.142857143,2,frequency,weekly,
\bb[\.\s]*i?[\.\s]*d\b,2,1,frequency,bid,
\btwice\s*(?:daily|a day|per day)\b,2,1,frequency,,
\b(?:biw|biweekly)\b,0.285714286,1,frequency,biw,
\btid\b,3,1,frequency,tid,
\btiw\b,0.428571429,1,frequency,,
\bqid\b,4,1,frequency,qid,
\b(?:every other day|qod|every other night)\b,0.5,1,frequency,,
(?:/|\bper\b|\ba\b|x)\s*(?:d|day|daily)(?![a-z]),1,2,frequency,,`
(?:/|\bper\b|\ba\b|x)\s*(?:24h|24hr|24hrs|24hour|24hours)(?![a-z]),1,2,frequency,,
(?:/|\bper\b|\ba\b|x)\s*(?:m|mo|month)(?![a-z]),0.033333333,2,frequency,,
\bmonthly\b,0.033333333,2,frequency,,
(?:/|\bper\b|\ba\b|x)\s*(?:y|yr|year)(?![a-z]),0.002739726,2,frequency,,
\b1\s*x\b,1x,2,frequency,,
\bdaily\b,1,2,frequency,,
\bqh\b,24,2,frequency,,
\bqam\b,1,1,frequency,,
\bq am\b,1,1,frequency,,
\bq pm\b,1,1,frequency,,
\bqpm\b,1,2,frequency,,
\bhs\b,1,2,frequency,,
\bnightly\b,1,2,frequency,,
\bevery night\b,1,2,frequency,,
\bevery hour of sleep\b,1,2,frequency,,
\bqhs\b,1,2,frequency,,
\bq\.?\s*d\.?\b,1,2,frequency,once daily,
\bq\s*d\b,1,2,frequency,once daily,
\bq\s*\.?\s*d\b,1,2,frequency,once daily,
\bq\s*day\b,1,2,frequency,once daily,
\bqdaily\b,1,2,frequency,once daily,
\bod\b,1,2,frequency,once daily,
\bsid\b,1,2,frequency,once daily,
\bonce\s*(a|per)?\s*day\b,1,1,frequency,once daily,
\bevery\s*day\b,1,2,frequency,once daily,
\b1\s*(x|times?)?\s*(/|per|a)?\s*day\b,1,1,frequency,once daily,
\b1\s*/\s*day\b,1,1,frequency,once daily,
\b1\s*per\s*day\b,1,1,frequency,once daily,
\bdaily\b,1,2,frequency,once daily,
\bq\.?\s*d\.?\b,1,2,frequency,1x/day,
\bq\s*d\b,1,2,frequency,1x/day,
\bq\s*\.?\s*d\b,1,2,frequency,1x/day,
\bq\s*day\b,1,2,frequency,1x/day,
\bod\b,1,2,frequency,1x/day,
\bsid\b,1,2,frequency,1x/day,
\bevery\s*day\b,1,2,frequency,1x/day,
\bdaily\b,1,2,frequency,1x/day,
\bb\s*i\s*d\b,2,2,frequency,2x/day,
\bbidly\b,2,2,frequency,2x/day,
\bbd\b,2,2,frequency,2x/day,
\bb\s*d\b,2,2,frequency,2x/day,
\b2x\s*/?\s*d\b,2,1,frequency,2x/day,
\bt\.?\s*i\.?\s*d\.?\b,3,2,frequency,3x/day,
\bt\s*i\s*d\b,3,2,frequency,3x/day,
\b3x\s*/?\s*d\b,3,1,frequency,3x/day,
\bq\.?\s*i\.?\s*d\.?\b,4,2,frequency,4x/day,
\bq\s*i\s*d\b,4,2,frequency,4x/day,
\b4x\s*/?\s*d\b,4,1,frequency,4x/day,
\bq\s*24\s*h\b,1,2,frequency,1x/day,
\bq24h\b,1,2,frequency,1x/day,
\bprn\b,prn,2,prn,prn,
\bas\s*req\b,prn,2,prn,prn,
\boccasionally\b,prn,2,prn,prn,
\bq\s*o\s*d\b,0.5,2,frequency,0.5x/day,
\bqod\b,0.5,2,frequency,0.5x/day,
\bevery\s*other\s*day\b,0.5,2,frequency,0.5x/day,
\balt\s*days\b,0.5,2,frequency,0.5x/day,
\bq\s*w\s*k\b,0.142857,2,frequency,7-Jan,
\bqwk\b,0.142857,2,frequency,7-Jan,
\bqw\b,0.142857,2,frequency,7-Jan,
\bq\s*m\s*o\b,0.0333,2,frequency,30-Jan,
\bqmo\b,0.0333,2,frequency,30-Jan,
\bq\s*y\s*r\b,0.0027,2,frequency,1/365,
\bqyr\b,0.0027,2,frequency,1/365,
\bbid\s*ac\b,2,2,frequency,2x/day,
\btid\s*ac\b,3,2,frequency,3x/day,
\bbid\s*pc\b,2,2,frequency,2x/day,
\btid\s*pc\b,3,2,frequency,3x/day,
\b2\s*x\s*daily\b,2,2,frequency,2x/day,
\b3\s*x\s*daily\b,3,2,frequency,3x/day,
\b4\s*x\s*daily\b,4,2,frequency,4x/day,
\b1\s*x\b,1x,2,frequency,,
\btiw\b,0.428571429,1,frequency,,
\bevery am\b,1,1,frequency,,
\bevery pm\b,1,1,frequency,,
\bevery evening\b,1,1,frequency,,
\bat hour of sleep\b,1,1,frequency,,
\bq\s*a\.?\s*m\.?\b,1,1,frequency,1x/day,
\bq\s*p\.?\s*m\.?\b,1,1,frequency,1x/day,
\bq\s*h\.?\s*s\.?\b,1,1,frequency,1x/day,
\bqhs\b,1,1,frequency,1x/day,
\bq-day\b,1,1,frequency,,
\bqmonth\b,0.033333333,1,frequency,,
\bprn\b,prn,1,prn,,
\bas\s+needed\b,prn,1,prn,,
\bas\s+required\b,prn,1,prn,,
\bwhen\s+needed\b,prn,1,prn,,
\bif\s+needed\b,prn,1,prn,,
prn\b,prn,1,prn,,
\brarely\b,prn,1,prn,,
\boccasionally\b,prn,1,prn,,
\bintermittent\b,prn,1,prn,,
\bevery other week\b,0.071428571,1,frequency,,
\bevery other month\b,0.016666667,1,frequency,,
\bevery 4th day\b,0.25,1,frequency,,
\btwice same day\b,2,1,frequency,,
\b24 hours\b,1,2,frequency,,
\bq24 hours\b,1,1,frequency,,
