drug_name_canonical,canonical_LEDD_med,release,route,drug_class,ledd_conversion_factor,comt_modifier,notes
carbidopa / levodopa,rytary ,er,,Dopamine Replacement,0.7,,
carbidopa / levodopa,rytary ,,,Dopamine Replacement,0.7,,
carbidopa / levodopa,sinemet,er,,Dopamine Replacement,0.7,,
carbidopa / levodopa,carbidopa / levodopa,er,,Dopamine Replacement,0.7,,
carbidopa / levodopa,levocomp,er,,Dopamine Replacement,0.7,,
carbidopa / levodopa,levocomp / carbidopa,er,,Dopamine Replacement,0.7,,
carbidopa / levodopa,madopar,er,,Dopamine Replacement,0.7,,
benserazide / levodopa,benserazide / levodopa,er,,Dopamine Replacement,0.7,,
levodopa,levodopa,er,,Dopamine Replacement,0.7,,
,,,,,,,
carbidopa / levodopa,sinemet lp,,,Dopamine Replacement,1,,
carbidopa / levodopa,sinemet,ir,,Dopamine Replacement,1,,
carbidopa / levodopa,sinemet,,,Dopamine Replacement,1,,
carbidopa / levodopa,carbidopa / levodopa,ir,,Dopamine Replacement,1,,
carbidopa / levodopa,carbidopa / levodopa,,,Dopamine Replacement,1,,
carbidopa / levodopa,levocomp,ir,,Dopamine Replacement,1,,
carbidopa / levodopa,levocomp,,,Dopamine Replacement,1,,
carbidopa / levodopa,levocomp / carbidopa,ir,,Dopamine Replacement,1,,
carbidopa / levodopa,levocomp / carbidopa,,,Dopamine Replacement,1,,
carbidopa / levodopa,levocomp,ir,,Dopamine Replacement,1,,
carbidopa / levodopa,levocomp,,,Dopamine Replacement,1,,
carbidopa / levodopa,nacom,ir,,Dopamine Replacement,1,,
carbidopa / levodopa,nacom,,,Dopamine Replacement,1,,
carbidopa / levodopa,isicom,ir,,Dopamine Replacement,1,,*verify before mapping
carbidopa / levodopa,isicom,,,Dopamine Replacement,1,,*verify before mapping
benserazide / levodopa,madopar,ir,,Dopamine Replacement,1,,
benserazide / levodopa,madopar,,,Dopamine Replacement,1,,
benserazide / levodopa,benserazide / levodopa,ir,,Dopamine Replacement,1,,
benserazide / levodopa,benserazide / levodopa,,,Dopamine Replacement,1,,
benserazide / levodopa,levopar,ir,,Dopamine Replacement,1,,
benserazide / levodopa,levopar,,,Dopamine Replacement,1,,
levodopa,levodopa,ir,,Dopamine Replacement,1,,
levodopa,levodopa,,,Dopamine Replacement,1,,
,,,,,,,
carbidopa / levodopa,duodopa,,,Dopamine Replacement,1.11,,
carbidopa / levodopa,duopa,,,Dopamine Replacement,1.11,,
carbidopa / levodopa,carbidopa / levodopa,,intestin,Dopamine Replacement,1.11,,
,,,,,,,
levodopa,inbrija,,,Dopamine Replacement,0.6,,rescue dose
levodopa,levodopa,,inhaler,Dopamine Replacement,0.6,,
levodopa,levodopa,,puff,Dopamine Replacement,0.6,,FIXME other?
,,,,,,,
ongentys,ongentys,,,COMT Inhibitor,LD x 0.33,,
opicapone,opicapone,,,COMT Inhibitor,LD x 0.33,,
comtan,comtan,,,COMT Inhibtors,LD x 0.33,,
entacapone,entacapone,,,COMT Inhibtors,LD x 0.33,,
entacapone,comtan,,,COMT Inhibtors,LD x 0.33,,
opicapone,opicapone,,,COMT Inhibtors,LD x 0.33,,
opicapone,ongentys,,,COMT Inhibtors,LD x 0.33,,
tolcapone,tolcapone,,,COMT Inhibtors,LD x 0.5,,
carbidopa / entacapone / levodopa,stalevo,,,levodopa + comt_inhibitor,LD x 0.33,0.33,Apply COMT modifier to levodopa dose component only before summing
carbidopa / entacapone / levodopa,carbidopa / entacapone / levodopa,,,levodopa + comt_inhibitor,LD x 0.33,,
pramipexole,pramipexole hydrochloride,,,Dopamine Antagonists,100,,
pramipexole,pramipexole dihydrochloride,,,Dopamine Antagonists,100,,
