raw,replacement,category,notes
\b1/4\b,0.25,quantity,
\b1/3\b,0.333,quantity,
\b1/2\b,0.5,quantity,
\b2/3\b,0.667,quantity,
\b3/4\b,0.75,quantity,
\b1\s+1/4\b,1.25,quantity,
\b1\s+1/2\b,1.5,quantity,
\b1\s+3/4\b,1.75,quantity,
\b2\s+1/2\b,2.5,quantity,
\b2\s+3/4\b,2.75,quantity,
¼,0.25,quantity,
½,0.5,quantity,
¾,0.75,quantity,
\b(?:one\s+half|1\s+half|half\s+a|half)\b,0.5,quantity,
\bone\s+and\s+a\s+half\b,1.5,quantity,
\btwo\s+and\s+a\s+half\b,2.5,quantity,
\bthree\s+and\s+a\s+half\b,3.5,quantity,
\bzero\b,0,quantity,
\bone\b,1,quantity,
\btwo\b,2,quantity,
\bthree\b,3,quantity,
\bfour\b,4,quantity,
\bfive\b,5,quantity,
\bsix\b,6,quantity,
\bseven\b,7,quantity,
\beight\b,8,quantity,
\bnine\b,9,quantity,
\bten\b,10,quantity,
\band\b,,cleanup,
\bat\b,,cleanup,
\bbolus\b,,cleanup,
\bcorrective dosing\b,,cleanup,
\bdihydrochloride\b,,cleanup,
\bdopa\b,levodopa,cleanup,
\bgeneric\b,,cleanup,
\bglass\b,,cleanup,FIXME
\bhcl\b,,cleanup,FIXME
\bhydrochloride\b,,cleanup,remove salt
\bin\b,,cleanup,
\blevo\b,levodopa,cleanup,
\block\b,,cleanup,
\bna\b,,cleanup,remove salt
\bns\b,normal saline,cleanup,remove salt
\bnss\b,normal saline solution,cleanup,
\bof\b,,cleanup,
\bone\b,1,cleanup,FIXME
\botc\b,,cleanup,remove na 
\btake\b,,cleanup,
\btbcr\b,tb cr,cleanup,
\btbec\b,tb ec,cleanup,
\bthe\b,,cleanup,
\bunk(?:nown)?\b,,cleanup,
\bbag\b,iv bag,device,
\bbtl\b,bottle,device,
\bcont fast\b,continuous fast ,device,
\bcont\b,cont,device,
\bcup\b,cup,device,remove unk (unknown)
\bflex cont\b,flex cont,device,
\blocked\b,locked,device,
\bmbp\b,iv bag,device,
\bmini iv bag plus\b,iv bag,device,
\bmini iv bag\b,iv bag,device,
\bmini-iv bag plus\b,iv bag,device,
\bmini-iv bag\b,iv bag,device,
\bplas cont\b,plastic cont,device,
\brtu bp\b,bag,device,
\bsdv\b,sdv,device,
(?:supp|suppository|suppositories)\b,suppository,form,
aerosol\b,inhaler,form,
ampoule(?:s)?\b,ampoule,form,
chew(?:able)?\b,chew,form,
cream\b,cream,form,
disperse\b,dispersible,form,
dispersible\b,dispersible,form,
dose\b,dose,form,
elixir\b,elixir,form,
emul(?:sion)?\b,emulsion,form,
film\b,film,form,
foam\b,foam,form,
gel\b,gel,form,
gelcaps?\b,soft_gel,form,
granules?\b,granules,form,
ij\b,injection,form,
implant\b,implant,form,
inhaler\b,inhaler,form,
