raw,replacement,category,notes
\b(?:10(?:\.0+)?|ten)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|24\s*(?:hours?|hrs?|h))\b,10x/day,freq,10 per day
\b(?:10(?:\.0+)?|ten)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,10x/day,freq,10 per day
\b(?:10(?:\.0+)?|ten)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,10x/day,freq,10 per day
\b(?:10(?:\.0+)?|ten)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,10x/day,freq,10 per day
\b(?:10(?:\.0+)?|ten)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:h|hr|hour|hours|hrs)\b,10x/hour,freq,10 per hour
\b(?:10(?:\.0+)?|ten)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,10x/hour,freq,10 per hour
\b(?:10(?:\.0+)?|ten)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:h|hr|hour|hours|hrs)\b,10x/hour,freq,10 per hour
\b(?:10(?:\.0+)?|ten)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|monthly)\b,10x/month,freq,10 per month
\b(?:10(?:\.0+)?|ten)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,10x/month,freq,10 per month
\b(?:10(?:\.0+)?|ten)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|months|monthly)\b,10x/month,freq,10 per month
\b(?:10(?:\.0+)?|ten)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:m|mo|month|months|monthly)\b,10x/month,freq,10 per month
\b(?:10(?:\.0+)?|ten)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:w|week|wk|wks|weeks|weekly)\b,10x/week,freq,10 per week
\b(?:10(?:\.0+)?|ten)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,10x/week,freq,10 per week
\b(?:10(?:\.0+)?|ten)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:w|week|wk|wks|weeks|weekly)\b,10x/week,freq,10 per week
\b(?:10(?:\.0+)?|ten)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:y|yr|year|yearly|annually)\b,10x/year,freq,10 per year
\b(?:10(?:\.0+)?|ten)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,10x/year,freq,10 per year
\b(?:10(?:\.0+)?|ten)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:y|yr|year|yearly|annually)\b,10x/year,freq,10 per year
\b(?:11(?:\.0+)?|eleven)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|24\s*(?:hours?|hrs?|h))\b,11x/day,freq,11 per day
\b(?:11(?:\.0+)?|eleven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,11x/day,freq,11 per day
\b(?:11(?:\.0+)?|eleven)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,11x/day,freq,11 per day
\b(?:11(?:\.0+)?|eleven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,11x/day,freq,11 per day
\b(?:11(?:\.0+)?|eleven)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:h|hr|hour|hours|hrs)\b,11x/hour,freq,11 per hour
\b(?:11(?:\.0+)?|eleven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,11x/hour,freq,11 per hour
\b(?:11(?:\.0+)?|eleven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:h|hr|hour|hours|hrs)\b,11x/hour,freq,11 per hour
\b(?:11(?:\.0+)?|eleven)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|monthly)\b,11x/month,freq,11 per month
\b(?:11(?:\.0+)?|eleven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,11x/month,freq,11 per month
\b(?:11(?:\.0+)?|eleven)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|months|monthly)\b,11x/month,freq,11 per month
\b(?:11(?:\.0+)?|eleven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:m|mo|month|months|monthly)\b,11x/month,freq,11 per month
\b(?:11(?:\.0+)?|eleven)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:w|week|wk|wks|weeks|weekly)\b,11x/week,freq,11 per week
\b(?:11(?:\.0+)?|eleven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,11x/week,freq,11 per week
\b(?:11(?:\.0+)?|eleven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:w|week|wk|wks|weeks|weekly)\b,11x/week,freq,11 per week
\b(?:11(?:\.0+)?|eleven)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:y|yr|year|yearly|annually)\b,11x/year,freq,11 per year
\b(?:11(?:\.0+)?|eleven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,11x/year,freq,11 per year
\b(?:11(?:\.0+)?|eleven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:y|yr|year|yearly|annually)\b,11x/year,freq,11 per year
\b(?:12(?:\.0+)?|twelve)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|24\s*(?:hours?|hrs?|h))\b,12x/day,freq,12 per day
\b(?:12(?:\.0+)?|twelve)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,12x/day,freq,12 per day
\b(?:12(?:\.0+)?|twelve)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,12x/day,freq,12 per day
\b(?:12(?:\.0+)?|twelve)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,12x/day,freq,12 per day
\b(?:12(?:\.0+)?|twelve)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:h|hr|hour|hours|hrs)\b,12x/hour,freq,12 per hour
\b(?:12(?:\.0+)?|twelve)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,12x/hour,freq,12 per hour
\b(?:12(?:\.0+)?|twelve)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:h|hr|hour|hours|hrs)\b,12x/hour,freq,12 per hour
