raw,replacement,category,notes
\b(?:one\s+half|1\s+half|half\s+a|half)\b,0.5,amount,
\bhcl\b,,cleanup,remove salt
\bhydrochloride\b,,cleanup,remove salt
\bdihydrochloride\b,,cleanup,remove salt
\bunk\b,,cleanup,remove unk (unknown)
\bna\b,,cleanup,remove na 
\bpill(?:s)?\b,pill,form,
\btab(?:s|let|lets)?\b,tabs,form,tablet variants
\bcap(?:s|sule|sules)?\b,caps,form,capsule variants
\bsoft\s*gel(?:s)?\b,softgel,form,softgel
\bpatch(?:es)?\b,patch,form,transdermal patch
\binjection(?:s)?\b,injection,form,injection
\bshot(?:s)?\b,injection,form,shot synonym
\bampoule(?:s)?\b,ampoule,form,ampoule
\bvial(?:s)?\b,vial,form,vial
\bdrop(?:s)?\b,drop,form,drops
\bsolution\b,solution,form,solution
\bsuspension\b,suspension,form,suspension
\bsyrup\b,syrup,form,syrup
\bcream\b,cream,form,topical
\bointment\b,ointment,form,topical
\bgel\b,gel,form,topical
\blotion\b,lotion,form,topical
\bspray\b,spray,form,spray
\bfoam\b,foam,form,foam
\b(?:once\s*(?:daily|a\s*day|per\s*day|every\s*day|each\s*day))\b,1x/day,freq,once daily
\b(?:every\s*24\s*(?:hours?|hrs?)|q24h|q24)\b,1x/day,freq,
\b(?:q\.?\s*d\.?|od|q24h|q24)\b,1x/day,freq,
\bq day\b,1x/day,freq,
\bqday\b,1x/day,freq,
\bbid\b,2x/day,freq,bid
\btwice\s*(?:daily|a day|per day)\b,2x/day,freq,
\btid\b,3x/day,freq,tid
\b(?:qam|in the am|every\s*morning)\b,morning,freq,time of day
\b(?:q\s*pm|every\s*evening|in the pm)\b,morning,freq,morning
\b(?:qhs|hs|at\s*bedtime|night\s*time)\b,evening,freq,time of day
\b(?:prn|as needed|rarely|occasionally|intermittent)\b,prn,freq,
\btiw\b,3x/week,freq,
\bq\s*(?:w|wk|week)\b,1x/week,freq,
\b(?:every other day|qod|every other night)\b,qod,freq,
\b(?:once\s+a\s+year|yearly|annually)\b,1x/year,freq,
\bextended\s*release\b,er,release,ER
\ber\b,er,release,ER
\bxr\b,er,release,XR
\bcr\b,er,release,CR
\bsustained\s*release\b,er,release,SR
\bimmediate\s*release\b,ir,release,IR
\bir\b,ir,release,IR
\bcr\b,er,release,ER
\ber\b,er,release,ER
\bxr\b,er,release,ER
\bxl\b,er,release,ER
\bsr\b,er,release,ER
\bsa\b,er,release,ER
\blp\b,er,release,ER
\bprolib\b,er,release,ER
\bmodified release\b,er,release,ER
\breseased lib\b,er,release,ER
\bdepot\b,er,release,ER
\blt\b,er,release,ER
\bodt\b,er,release,ER
\bextended release\b,er,release,ER
\bprologed release\b,er,release,ER
\bsustained release\b,er,release,ER
\bretard\b,er,release,ER
\bslow release\b,er,release,ER
\bret\b,er,release,ER
\bpo\b,oral,route,by mouth
\bby\s*mouth\b,oral,route,oral
\boral\b,oral,route,oral
\biv\b,iv,route,intravenous
\bintravenous\b,iv,route,iv
\bim\b,im,route,intramuscular
\bintramuscular\b,im,route,im
\bsubcutaneous\b,sc,route,subq
\bsc\b,sc,route,subq
\bmilligrams?\b,mg,unit,milligram
\bmg\b,mg,unit,mg
\bgram(?:s)?\b,g,unit,grams
\bg\b,g,unit,g
\bmicrogram(?:s)?\b,mcg,unit,micrograms
\bmcg\b,mcg,unit,mcg
\bµg\b,mcg,unit,unicode microgram
\bmilliliter(?:s)?\b,ml,unit,ml
\bml\b,ml,unit,ml
\bliter(?:s)?\b,l,unit,liter
\bl\b,l,unit,liter
