raw,canonical,snomed_code,root_category
eight times daily,eight times daily,307443002,307438009
eight times daily (qualifier value),eight times daily,307443002,307438009
every 36 hours,every 36 hours,396126004,307438009
every thirty six hours,every 36 hours,396126004,307438009
every thirty six hours (qualifier value),every 36 hours,396126004,307438009
q36hr,every 36 hours,396126004,307438009
five times a day,five times a day,307440004,307438009
five times daily,five times a day,307440004,307438009
five times daily (qualifier value),five times a day,307440004,307438009
four times a day,four times a day,307439001,307438009
four times daily,four times a day,307439001,307438009
four times daily (qualifier value),four times a day,307439001,307438009
qds - four times daily,four times a day,307439001,307438009
qds - quater die sumendus,four times a day,307439001,307438009
qid - four times daily,four times a day,307439001,307438009
four times daily after meals and at bedtime,four times daily after meals and at bedtime,421969000,307438009
four times daily after meals and at bedtime (qualifier value),four times daily after meals and at bedtime,421969000,307438009
qidpchs,four times daily after meals and at bedtime,421969000,307438009
four times daily before meals and at bedtime,four times daily before meals and at bedtime,420660006,307438009
four times daily before meals and at bedtime (qualifier value),four times daily before meals and at bedtime,420660006,307438009
qidachs,four times daily before meals and at bedtime,420660006,307438009
four times daily with meals and at bedtime,four times daily with meals and at bedtime,708023005,307438009
four times daily with meals and at bedtime (qualifier value),four times daily with meals and at bedtime,708023005,307438009
4 to 6 times a day,four to six times a day,396114009,307438009
4-6x/day,four to six times a day,396114009,307438009
four to six times a day,four to six times a day,396114009,307438009
four to six times a day (qualifier value),four to six times a day,396114009,307438009
frequency per day,frequency per day,307438009,307438009
frequency per day (qualifier value),frequency per day,307438009,307438009
9 times a day,nine times a day,396115005,307438009
9x/day,nine times a day,396115005,307438009
nine times a day,nine times a day,396115005,307438009
nine times a day (qualifier value),nine times a day,396115005,307438009
once a day,once a day,229797004,307438009
once daily,once a day,229797004,307438009
once daily (qualifier value),once a day,229797004,307438009
od - once daily,once a day,229797004,307438009
od - omni die,once a day,229797004,307438009
"once a day, at bedtime","once a day, at bedtime",396142006,307438009
"once a day, at bedtime (qualifier value)","once a day, at bedtime",396142006,307438009
qhs,"once a day, at bedtime",396142006,307438009
"once a day, in the evening","once a day, in the evening",396147000,307438009
"once a day, in the evening (qualifier value)","once a day, in the evening",396147000,307438009
qpm,"once a day, in the evening",396147000,307438009
1 to 4 times a day,one to four times a day,396109005,307438009
1-4x/day,one to four times a day,396109005,307438009
one to four times a day,one to four times a day,396109005,307438009
one to four times a day (qualifier value),one to four times a day,396109005,307438009
1 to 3 times a day,one to three times a day,396108002,307438009
1-3x/day,one to three times a day,396108002,307438009
one to three times a day,one to three times a day,396108002,307438009
one to three times a day (qualifier value),one to three times a day,396108002,307438009
1 to 2 times a day,one to two times a day,396107007,307438009
1-2x/day,one to two times a day,396107007,307438009
one to two times a day,one to two times a day,396107007,307438009
one to two times a day (qualifier value),one to two times a day,396107007,307438009
seven times daily,seven times daily,307442007,307438009
seven times daily (qualifier value),seven times daily,307442007,307438009
six times a day,six times daily,307441000,307438009
six times daily,six times daily,307441000,307438009
six times daily (qualifier value),six times daily,307441000,307438009
16 times a day,sixteen times a day,396110000,307438009
16x/day,sixteen times a day,396110000,307438009
sixteen times a day,sixteen times a day,396110000,307438009
sixteen times a day (qualifier value),sixteen times a day,396110000,307438009
10 times a day,ten times a day,396105004,307438009
10x/day,ten times a day,396105004,307438009
ten times a day,ten times a day,396105004,307438009
ten times a day (qualifier value),ten times a day,396105004,307438009
3x /day,three times a day,229798009,307438009
three times a day,three times a day,229798009,307438009
three times daily,three times a day,229798009,307438009
three times daily (qualifier value),three times a day,229798009,307438009
tds - three times daily,three times a day,229798009,307438009
tds - ter die sumendus,three times a day,229798009,307438009
tid - three times daily,three times a day,229798009,307438009
"3 times a day, before meals","three times a day, before meals",396145008,307438009
