,raw,replacement,priority,category,notes
0,\beight times daily\b,8.0,1,frequency,eight times daily
2,\bevery 36 hours\b,0.6666666666666666,1,frequency,every 36 hours
3,\bevery thirty six hours\b,0.6666666666666666,1,frequency,every 36 hours
5,\bq36hr\b,0.6666666666666666,1,frequency,every 36 hours
6,\bfive times a day\b,5.0,1,frequency,five times a day
7,\bfive times daily\b,5.0,1,frequency,five times a day
9,\bfour times a day\b,4.0,1,frequency,four times a day
10,\bfour times daily\b,4.0,1,frequency,four times a day
12,\bqds - four times daily\b,4.0,1,frequency,four times a day
13,\bqds - quater die sumendus\b,4.0,1,frequency,four times a day
14,\bqid - four times daily\b,4.0,1,frequency,four times a day
15,\bfour times daily after meals and at bedtime\b,4.0,1,frequency,four times daily after meals and at bedtime
17,\bqidpchs\b,4.0,1,frequency,four times daily after meals and at bedtime
18,\bfour times daily before meals and at bedtime\b,4.0,1,frequency,four times daily before meals and at bedtime
20,\bqidachs\b,4.0,1,frequency,four times daily before meals and at bedtime
21,\bfour times daily with meals and at bedtime\b,4.0,1,frequency,four times daily with meals and at bedtime
23,\b4 to 6 times a day\b,6.0,1,frequency,four to six times a day
24,\b4-6x/day\b,6.0,1,frequency,four to six times a day
25,\bfour to six times a day\b,6.0,1,frequency,four to six times a day
29,\b9 times a day\b,9.0,1,frequency,nine times a day
30,\b9x/day\b,9.0,1,frequency,nine times a day
31,\bnine times a day\b,9.0,1,frequency,nine times a day
33,\bonce a day\b,1.0,1,frequency,once a day
34,\bonce daily\b,1.0,1,frequency,once a day
36,\bod - once daily\b,1.0,1,frequency,once a day
37,\bod - omni die\b,1.0,1,frequency,once a day
38,"\bonce a day, at bedtime\b",1.0,1,frequency,"once a day, at bedtime"
40,\bqhs\b,1.0,1,frequency,"once a day, at bedtime"
41,"\bonce a day, in the evening\b",1.0,1,frequency,"once a day, in the evening"
43,\bqpm\b,1.0,1,frequency,"once a day, in the evening"
44,\b1 to 4 times a day\b,4.0,1,frequency,one to four times a day
45,\b1-4x/day\b,4.0,1,frequency,one to four times a day
46,\bone to four times a day\b,4.0,1,frequency,one to four times a day
48,\b1 to 3 times a day\b,3.0,1,frequency,one to three times a day
49,\b1-3x/day\b,3.0,1,frequency,one to three times a day
50,\bone to three times a day\b,3.0,1,frequency,one to three times a day
52,\b1 to 2 times a day\b,2.0,1,frequency,one to two times a day
53,\b1-2x/day\b,2.0,1,frequency,one to two times a day
54,\bone to two times a day\b,2.0,1,frequency,one to two times a day
56,\bseven times daily\b,7.0,1,frequency,seven times daily
58,\bsix times a day\b,6.0,1,frequency,six times daily
59,\bsix times daily\b,6.0,1,frequency,six times daily
61,\b16 times a day\b,16.0,1,frequency,sixteen times a day
62,\b16x/day\b,16.0,1,frequency,sixteen times a day
63,\bsixteen times a day\b,16.0,1,frequency,sixteen times a day
65,\b10 times a day\b,10.0,1,frequency,ten times a day
66,\b10x/day\b,10.0,1,frequency,ten times a day
67,\bten times a day\b,10.0,1,frequency,ten times a day
69,\b3x /day\b,3.0,1,frequency,three times a day
70,\bthree times a day\b,3.0,1,frequency,three times a day
71,\bthree times daily\b,3.0,1,frequency,three times a day
73,\btds - three times daily\b,3.0,1,frequency,three times a day
74,\btds - ter die sumendus\b,3.0,1,frequency,three times a day
75,\btid - three times daily\b,3.0,1,frequency,three times a day
76,"\b3 times a day, before meals\b",3.0,1,frequency,"three times a day, before meals"
77,\btidac\b,3.0,1,frequency,"three times a day, before meals"
78,"\bthree times a day, before meals\b",3.0,1,frequency,"three times a day, before meals"
80,"\b3 times a day, with meals\b",3.0,1,frequency,"three times a day, with meals"
81,\btidwm\b,3.0,1,frequency,"three times a day, with meals"
82,"\bthree times a day, with meals\b",3.0,1,frequency,"three times a day, with meals"
84,\btidpc\b,3.0,1,frequency,three times daily after meals
85,\bthree times daily after meals\b,3.0,1,frequency,three times daily after meals
87,\b3 to 4 times a day\b,4.0,1,frequency,three to four times a day
88,\b3-4x /day\b,4.0,1,frequency,three to four times a day
89,\bthree to four times a day\b,4.0,1,frequency,three to four times a day
91,\b12 times a day\b,12.0,1,frequency,twelve times a day
92,\b12x/day\b,12.0,1,frequency,twelve times a day
93,\btwelve times a day\b,12.0,1,frequency,twelve times a day
95,\btwice a day\b,2.0,1,frequency,twice a day
97,\btwice daily\b,2.0,1,frequency,twice a day
98,\bbd - twice daily\b,2.0,1,frequency,twice a day
99,\bbd - bis die\b,2.0,1,frequency,twice a day
100,\bbid - twice a day\b,2.0,1,frequency,twice a day
101,\bbidpc\b,2.0,1,frequency,twice a day after meals
102,\btwice a day after meals\b,2.0,1,frequency,twice a day after meals
104,\bbidac\b,2.0,1,frequency,twice a day before meals
105,\btwice a day before meals\b,2.0,1,frequency,twice a day before meals
107,\bbidwm\b,2.0,1,frequency,twice a day with meals
108,\btwice a day with meals\b,2.0,1,frequency,twice a day with meals
110,"\b2 times a day monday, wednesday and friday\b",2.0,1,frequency,"two times a day monday, wednesday and friday"
111,\bbid mwf\b,2.0,1,frequency,"two times a day monday, wednesday and friday"
112,"\btwo times a day monday, wednesday and friday\b",2.0,1,frequency,"two times a day monday, wednesday and friday"
114,\b2 to 4 times a day\b,4.0,1,frequency,two to four times a day
115,\b2-4x/day\b,4.0,1,frequency,two to four times a day
116,\btwo to four times a day\b,4.0,1,frequency,two to four times a day
126,\bfour times per year\b,0.010958904109589041,1,frequency,four times per year
130,\bonce per year\b,0.0027397260273972603,1,frequency,once per year
132,\bthree times per year\b,0.008219178082191782,1,frequency,three times per year
134,\btwice per year\b,0.005479452054794521,1,frequency,twice per year
136,\balternate days\b,0.5,1,frequency,every 2 days
138,\bevery 2 days\b,0.5,1,frequency,every 2 days
139,\bevery other day\b,0.5,1,frequency,every 2 days
140,\b5 times a week\b,0.7142857142857142,1,frequency,five times a week
141,\b5x/wk\b,0.7142857142857142,1,frequency,five times a week
142,\bfive times a week\b,0.7142857142857142,1,frequency,five times a week
143,\bfive times weekly\b,0.7142857142857142,1,frequency,five times a week
145,\b4 times a week\b,0.5714285714285714,1,frequency,four times weekly
146,\b4x/wk\b,0.5714285714285714,1,frequency,four times weekly
147,\bfour times a week\b,0.5714285714285714,1,frequency,four times weekly
148,\bfour times weekly\b,0.5714285714285714,1,frequency,four times weekly
155,\bonce a week\b,0.14285714285714285,1,frequency,once a week
157,\bonce weekly\b,0.14285714285714285,1,frequency,once a week
158,\bseven times weekly\b,1.0,1,frequency,seven times weekly
160,\b6 times a week\b,0.8571428571428571,1,frequency,six times a week
161,\b6x/wk\b,0.8571428571428571,1,frequency,six times a week
162,\bsix times a week\b,0.8571428571428571,1,frequency,six times a week
163,\bsix times weekly\b,0.8571428571428571,1,frequency,six times a week
165,\bthree times a week\b,0.42857142857142855,1,frequency,three times a week
166,\bthree times weekly\b,0.42857142857142855,1,frequency,three times a week
168,\bthrice weekly\b,0.42857142857142855,1,frequency,three times a week
169,"\bthree times a week on monday, wednesday and friday\b",0.42857142857142855,1,frequency,"three times a week on monday, wednesday and friday"
171,"\bthree times a week on tuesday, thursday and saturday\b",0.42857142857142855,1,frequency,"three times a week on tuesday, thursday and saturday"
173,"\bthree times a week on wednesday, friday and sunday\b",0.42857142857142855,1,frequency,"three times a week on wednesday, friday and sunday"
175,\b3-4 times a week\b,0.5714285714285714,1,frequency,three to four times a week
176,\b3-4x /wk\b,0.5714285714285714,1,frequency,three to four times a week
177,\bthree to four times a week\b,0.5714285714285714,1,frequency,three to four times a week
179,\btwice a week on monday and thursday\b,0.2857142857142857,1,frequency,twice a week on monday and thursday
181,\btwice a week on thursday and sunday\b,0.2857142857142857,1,frequency,twice a week on thursday and sunday
183,\btwice a week on tuesday and friday\b,0.2857142857142857,1,frequency,twice a week on tuesday and friday
185,\btwice a week on wednesday and saturday\b,0.2857142857142857,1,frequency,twice a week on wednesday and saturday
187,\b2x/wk\b,0.2857142857142857,1,frequency,twice weekly
188,\btwice a week\b,0.2857142857142857,1,frequency,twice weekly
189,\btwice weekly\b,0.2857142857142857,1,frequency,twice weekly
191,\btwo times a week\b,0.2857142857142857,1,frequency,twice weekly
192,\b2-3 times a week\b,0.42857142857142855,1,frequency,two to three times a week
193,\btwo to three times a week\b,0.42857142857142855,1,frequency,two to three times a week
195,\bfour times per hour\b,0.16666666666666666,1,frequency,four times per hour
199,\bonce per hour\b,0.041666666666666664,1,frequency,once per hour
201,\bsix times per hour\b,0.25,1,frequency,six times per hour
203,\bthree times per hour\b,0.125,1,frequency,three times per hour
205,\btwice per hour\b,0.08333333333333333,1,frequency,twice per hour
207,\bfour times monthly\b,0.13333333333333333,1,frequency,four times monthly
213,\bonce monthly\b,0.03333333333333333,1,frequency,once monthly
215,\bthree times a month\b,0.1,1,frequency,three times a month
216,\bthree times monthly\b,0.1,1,frequency,three times a month
